x;y;z;texto
-74.03165;7.524434;-11445.41;Monoclinal de San Lucas
-73.89437;7.432914;-15288.78;Sinclinal de Terraplén
-73.96889;7.482596;-18760.2;Falla de Cimitarra
-73.87966;7.423108;-12933.16;Flor Cocuyo
-73.81004;7.376694;-13429.08;C. de Cachira
-73.66786;7.281905;-11941.33;C. de Infantas
-73.47567;7.153777;-15660.71;Bloque de Sabana de Torres
-73.32466;7.053105;-14172.96;C. de la Salina
-73.1962;6.967468;-13057.14;C. de los Cobardes
-73.27367;7.019111;-5866.327;Falla de Lebrija
-73.1658;6.947203;-6734.184;Falla de Suárez
-72.99126;6.830841;2936.224;Falla de Bucaramanga
-73.30505;7.04003;2812.245;Anticlinal de Cobardes
-73.50214;7.171427;2068.367;Sinclinal de Nuevo Mundo
